Actual,Predictions
[3],"[2.44340324e-03 4.01303172e-04 3.56297271e-04 8.34948838e-01
 3.33101576e-04 1.01083964e-01 8.34274199e-03 8.36378458e-05
 3.87210920e-02 1.32856108e-02]"
[8],"[2.8099122e-03 3.1818501e-03 6.4460757e-08 1.9701095e-07 1.4156225e-09
 3.0507221e-09 1.1580174e-07 2.5936961e-09 9.9373287e-01 2.7496467e-04]"
[8],"[3.1692106e-02 3.1471990e-02 2.4749042e-04 2.0887016e-03 1.6791928e-05
 1.5613536e-04 4.4461838e-05 1.4448715e-04 8.9505941e-01 3.9078426e-02]"
[0],"[8.3698350e-01 1.5114928e-02 5.6175319e-03 1.1015015e-03 6.3869869e-04
 6.6625464e-05 1.6643617e-03 5.4309974e-05 1.3805112e-01 7.0746499e-04]"
[6],"[4.6957771e-09 5.0509693e-06 5.6975242e-04 8.2058505e-05 4.1416564e-04
 1.4636422e-06 9.9892396e-01 9.8982005e-09 2.3778950e-06 1.0462873e-06]"
[6],"[9.2211224e-07 1.7840071e-06 1.3585556e-04 1.2241100e-03 9.4031781e-04
 8.3675678e-04 9.9657452e-01 1.1811499e-04 9.6416898e-07 1.6662858e-04]"
[1],"[1.4180956e-04 9.1901457e-01 2.6287901e-07 5.7336034e-05 3.6728773e-09
 8.2567713e-06 3.9515221e-06 1.0080623e-06 4.0414758e-05 8.0732383e-02]"
[6],"[3.1900822e-04 1.8228470e-06 1.2793998e-01 1.2929272e-02 2.7031684e-01
 1.1624919e-03 5.8127558e-01 5.9654429e-03 4.4642766e-05 4.4982178e-05]"
[3],"[1.68058541e-04 3.33523676e-05 1.41509501e-02 7.92727470e-01
 1.24003395e-01 4.25537005e-02 1.79491509e-02 7.68164499e-03
 1.30885615e-04 6.01402426e-04]"
[1],"[1.2935187e-03 9.8728752e-01 1.6314845e-05 7.0195051e-06 6.1441046e-06
 4.6982855e-06 1.4397837e-04 5.1655520e-06 2.6675276e-04 1.0968777e-02]"
[0],"[2.4259019e-01 1.2390164e-04 3.1298246e-02 8.6010680e-02 4.6392319e-01
 9.1906622e-02 4.4254540e-04 1.8294146e-02 6.4471930e-02 9.3862321e-04]"
[9],"[7.3272219e-08 1.7487975e-03 5.0648864e-12 4.8867804e-10 4.8057462e-13
 3.9782531e-11 1.9269478e-12 5.6167698e-10 8.8370022e-08 9.9825102e-01]"
[5],"[1.5931514e-04 2.4009217e-04 1.0962296e-01 8.5211828e-02 2.6145524e-01
 3.3012283e-01 1.6244686e-01 5.0139293e-02 9.9495264e-05 5.0204125e-04]"
[7],"[4.3640575e-06 6.1559808e-06 5.4075307e-04 3.2130905e-05 1.6460038e-04
 5.7288358e-04 4.4145967e-05 9.9856806e-01 4.9588556e-07 6.6457396e-05]"
[9],"[2.1505194e-07 1.2432130e-04 9.9559183e-10 3.2677072e-10 2.1949148e-10
 6.2110211e-10 3.3386956e-11 3.0633668e-08 4.3000939e-05 9.9983239e-01]"
[8],"[7.8620529e-04 2.2338669e-05 5.5907952e-04 1.2586845e-04 4.4737160e-04
 3.7559316e-06 1.8074103e-01 8.9596874e-08 8.1730711e-01 7.0894953e-06]"
[5],"[3.2792703e-04 1.2363021e-04 1.0471956e-02 7.1891494e-02 4.4178715e-04
 8.8493669e-01 3.1875633e-03 2.7276924e-02 2.2039751e-05 1.3200534e-03]"
[7],"[1.0294960e-03 3.1110102e-02 1.9590703e-03 5.3494400e-03 1.7971491e-03
 1.3861708e-02 2.6703107e-03 5.9564024e-01 8.8975386e-05 3.4649348e-01]"
[8],"[3.3785022e-04 7.5854077e-06 4.9783644e-09 1.0335193e-08 1.6353095e-08
 1.1646702e-09 1.9401899e-08 9.0096802e-10 9.9962580e-01 2.8681112e-05]"
[6],"[1.6217791e-06 2.7358431e-06 1.1403909e-03 3.3142540e-05 2.5306901e-04
 3.7300026e-07 9.9856347e-01 3.9369997e-08 1.2657982e-06 3.8621033e-06]"
[7],"[1.3679609e-03 3.1802538e-04 2.9584227e-04 1.5279973e-03 5.5653797e-03
 1.8156123e-04 2.6648948e-05 9.8999739e-01 3.8047608e-07 7.1890297e-04]"
[0],"[9.7515374e-01 1.4327782e-05 2.4402628e-02 1.6513177e-05 3.6018030e-06
 7.4740308e-07 4.0113018e-04 1.3076159e-07 7.1432501e-06 6.6683384e-08]"
[4],"[1.2774065e-02 5.4456948e-05 4.8200130e-02 2.1548498e-02 7.9838181e-01
 7.9723364e-03 4.8277392e-03 3.3893107e-04 1.0565141e-01 2.5064487e-04]"
[9],"[4.9385389e-09 2.4539566e-02 7.8382925e-14 5.8667622e-13 1.3497419e-14
 1.0642701e-12 3.4616325e-12 6.2346623e-13 1.5562819e-09 9.7546047e-01]"
[5],"[7.8532190e-05 3.7794255e-08 2.3036869e-03 1.5946600e-03 9.5305490e-01
 1.7588515e-02 2.3162855e-05 2.5351204e-02 1.0957841e-06 4.3928612e-06]"
[2],"[3.4055035e-03 1.0798897e-03 5.4008059e-02 1.4467607e-02 4.2863507e-02
 1.8481301e-03 3.6620643e-02 3.7053111e-03 7.0758926e-04 8.4129381e-01]"
[4],"[9.0502486e-05 3.7620233e-05 1.1067841e-01 2.0495787e-02 8.1085610e-01
 1.9110840e-02 2.0753564e-02 1.7835865e-02 6.1186865e-06 1.3521389e-04]"
[0],"[7.5780863e-01 5.2098323e-05 2.2388810e-01 1.7002044e-03 9.9820085e-03
 2.7598004e-04 3.4070488e-03 7.0802111e-04 8.2714891e-05 2.0952180e-03]"
[9],"[4.6988093e-06 6.0337484e-03 2.9482501e-07 1.6162892e-07 1.0464397e-07
 9.2840018e-08 1.9056975e-08 2.6064447e-06 8.6580667e-06 9.9394965e-01]"
[6],"[4.7537069e-05 7.0641099e-06 7.8732381e-03 1.0602722e-04 1.1014136e-02
 8.8935951e-05 9.8076737e-01 1.5115427e-05 2.7884957e-05 5.2721462e-05]"
[6],"[3.4927612e-05 1.3328081e-05 1.2178932e-02 2.4450480e-04 3.1092770e-03
 7.7820041e-06 9.8433024e-01 4.9917209e-05 1.2688328e-07 3.0946780e-05]"
[5],"[6.7079636e-05 2.2116805e-05 1.2082473e-01 5.5698741e-02 9.1758557e-02
 7.2078323e-01 3.1052544e-03 7.5561423e-03 3.8364760e-06 1.8037933e-04]"
[4],"[3.9862515e-04 7.9649944e-06 3.6386728e-01 1.8819011e-03 5.8386213e-01
 9.9897839e-04 4.3984175e-02 4.4977940e-03 2.2076834e-04 2.8036447e-04]"
[5],"[2.5543387e-04 2.0298853e-03 5.9674602e-02 2.8564334e-01 5.0690349e-02
 2.9253155e-01 2.9343215e-01 4.2235752e-04 1.2062888e-02 3.2574432e-03]"
[9],"[1.8453596e-03 6.5591600e-04 3.1061263e-06 1.6332873e-05 7.0210336e-07
 1.4165629e-06 4.3556523e-07 2.8138584e-04 3.3143818e-04 9.9686396e-01]"
